query_id,method_label,judge_model,failure_attempts,failure_codes
lotte_technology_search_100k_q117,bge_intentweight_positive_seed19,minimax-m3,2,SensitiveContentDetected
lotte_technology_search_100k_q121,e5_dense_top10,minimax-m3,2,SensitiveContentDetected
lotte_technology_search_100k_q139,bge_dense_top10,minimax-m3,1,SensitiveContentDetected
lotte_technology_search_100k_q139,bge_intentweight_positive_seed19,minimax-m3,1,SensitiveContentDetected
lotte_technology_search_100k_q139,e5_intentweight_full_seed19,minimax-m3,1,SensitiveContentDetected
lotte_technology_search_100k_q155,bge_dense_top10,minimax-m3,1,SensitiveContentDetected
lotte_technology_search_100k_q156,e5_dense_top10,minimax-m3,1,SensitiveContentDetected
lotte_technology_search_100k_q199,bge_intentweight_positive_seed19,minimax-m3,2,SensitiveContentDetected
lotte_technology_search_100k_q199,e5_dense_top10,minimax-m3,2,SensitiveContentDetected
lotte_technology_search_100k_q199,e5_intentweight_full_seed19,minimax-m3,2,SensitiveContentDetected
lotte_technology_search_100k_q206,bge_dense_top10,minimax-m3,1,SensitiveContentDetected
lotte_technology_search_100k_q208,bge_dense_top10,minimax-m3,1,SensitiveContentDetected
lotte_technology_search_100k_q208,bge_intentweight_positive_seed19,minimax-m3,1,SensitiveContentDetected
lotte_technology_search_100k_q208,e5_dense_top10,minimax-m3,1,SensitiveContentDetected
lotte_technology_search_100k_q254,bge_dense_top10,minimax-m3,1,SensitiveContentDetected
lotte_technology_search_100k_q254,bge_intentweight_positive_seed19,minimax-m3,1,SensitiveContentDetected
lotte_technology_search_100k_q254,e5_dense_top10,minimax-m3,1,SensitiveContentDetected
lotte_technology_search_100k_q254,minilm_dense_top10,minimax-m3,1,SensitiveContentDetected
lotte_technology_search_100k_q256,bge_intentweight_positive_seed19,minimax-m3,1,SensitiveContentDetected
lotte_technology_search_100k_q257,e5_dense_top10,minimax-m3,1,SensitiveContentDetected
lotte_technology_search_100k_q33,bge_intentweight_positive_seed19,minimax-m3,2,SensitiveContentDetected
lotte_technology_search_100k_q36,bge_dense_top10,minimax-m3,1,SensitiveContentDetected
lotte_technology_search_100k_q36,bge_intentweight_positive_seed19,minimax-m3,1,SensitiveContentDetected
lotte_technology_search_100k_q40,e5_intentweight_full_seed19,minimax-m3,2,SensitiveContentDetected
lotte_technology_search_100k_q573,e5_dense_top10,minimax-m3,1,SensitiveContentDetected
lotte_technology_search_100k_q68,bge_dense_top10,minimax-m3,1,SensitiveContentDetected
lotte_technology_search_100k_q68,e5_dense_top10,minimax-m3,1,SensitiveContentDetected
lotte_technology_search_100k_q8,e5_intentweight_full_seed19,minimax-m3,1,SensitiveContentDetected
