dataset,task_type,method,model,scope,query_split,query_splits,query_scope,corpus_scope,corpus_sampling,comparable_group,is_comparable,num_queries,num_skipped_no_gt,num_queries_with_gt,num_queries_with_gt_in_corpus,num_queries_gt_missing_from_corpus,num_gt_refs,num_gt_refs_in_corpus,num_gt_refs_missing_from_corpus,gt_query_coverage,gt_ref_coverage,gt_corpus_guardrail,num_total_queries,num_query_candidates,num_corpus_chunks,num_total_corpus_chunks,max_queries,max_corpus,top_k,metric_ks,mrr@1,mrr@10,mrr@5,ndcg@1,ndcg@10,ndcg@5,recall@1,recall@10,recall@5,elapsed_sec,notes,source_metrics_file
banking77,intent_retrieval_proxy,bm25,,heldout_test,test,test,split_test,full,,"dataset=banking77|query_scope=split_test|corpus_scope=full|top_k=10|ks=1,5,10",true,3080,0,3080,3080,0,400120,400120,0,1.0,1.0,pass,3080,3080,10003,10003,,,10,"1,5,10",0.801948051948052,0.8603728612657192,0.8558387445887456,0.801948051948052,0.6762452477120666,0.7253923742895273,0.801948051948052,0.9698051948051948,0.937012987012987,23.559,Intent retrieval proxy/domain routing; do not mix with evidence retrieval conclusions.,bm25_banking77_metrics.json
banking77,intent_retrieval_proxy,dense,sentence-transformers/all-MiniLM-L6-v2,heldout_test,test,test,split_test,full,,"dataset=banking77|query_scope=split_test|corpus_scope=full|top_k=10|ks=1,5,10",true,3080,0,3080,3080,0,400120,400120,0,1.0,1.0,pass,3080,3080,10003,10003,,,10,"1,5,10",0.9204545454545454,0.941565914244486,0.9401461038961041,0.9204545454545454,0.8797407300703027,0.8996290465746148,0.9204545454545454,0.9805194805194806,0.9701298701298702,31.568,"Intent retrieval proxy/domain routing; do not mix with evidence retrieval conclusions. Dense encoder is all-MiniLM-L6-v2 CPU exact cosine, not BGE-large.",dense_banking77_metrics.json
banking77,intent_retrieval_proxy,hybrid_rrf,sentence-transformers/all-MiniLM-L6-v2,heldout_test,test,test,split_test,full,,"dataset=banking77|query_scope=split_test|corpus_scope=full|top_k=10|ks=1,5,10",true,3080,0,3080,3080,0,400120,400120,0,1.0,1.0,pass,3080,3080,10003,10003,,,10,"1,5,10",0.9136363636363637,0.9394345238095243,0.9376406926406929,0.9136363636363637,0.850441276873849,0.8814532004470466,0.9136363636363637,0.9850649350649351,0.9720779220779221,55.848,"Intent retrieval proxy/domain routing; do not mix with evidence retrieval conclusions. Dense encoder is all-MiniLM-L6-v2 CPU exact cosine, not BGE-large.",hybrid_banking77_metrics.json
cuad,evidence_retrieval,bm25,,smoke_only,test,test,split_test_first_100,gt_anchored_10000,gt_anchored,"dataset=cuad|query_scope=split_test_first_100|corpus_scope=gt_anchored_10000|top_k=10|ks=1,5,10",true,79,21,79,79,0,1484,1484,0,1.0,1.0,pass,2550,510,10000,675400,100,10000,10,"1,5,10",0.012658227848101266,0.02320675105485232,0.0189873417721519,0.012658227848101266,0.020930956041706392,0.01640610013880842,0.012658227848101266,0.05063291139240506,0.02531645569620253,1.519,Sampled query/corpus scope; use only with matching comparison group. CUAD smoke/sample result; not a full-corpus held-out result. Corpus sample is GT-anchored: selected query GT chunks plus sampled distractors.,bm25_cuad_metrics.json
cuad,evidence_retrieval,dense,sentence-transformers/all-MiniLM-L6-v2,smoke_only,test,test,split_test_first_100,gt_anchored_10000,gt_anchored,"dataset=cuad|query_scope=split_test_first_100|corpus_scope=gt_anchored_10000|top_k=10|ks=1,5,10",true,79,21,79,79,0,1484,1484,0,1.0,1.0,pass,2550,510,10000,675400,100,10000,10,"1,5,10",0.02531645569620253,0.033438818565400846,0.028481012658227847,0.02531645569620253,0.034869397623285045,0.028659090159146725,0.02531645569620253,0.0759493670886076,0.0379746835443038,76.51,"Sampled query/corpus scope; use only with matching comparison group. CUAD smoke/sample result; not a full-corpus held-out result. Corpus sample is GT-anchored: selected query GT chunks plus sampled distractors. Dense encoder is all-MiniLM-L6-v2 CPU exact cosine, not BGE-large.",dense_cuad_metrics.json
cuad,evidence_retrieval,hybrid_rrf,sentence-transformers/all-MiniLM-L6-v2,smoke_only,test,test,split_test_first_100,gt_anchored_10000,gt_anchored,"dataset=cuad|query_scope=split_test_first_100|corpus_scope=gt_anchored_10000|top_k=10|ks=1,5,10",true,79,21,79,79,0,1484,1484,0,1.0,1.0,pass,2550,510,10000,675400,100,10000,10,"1,5,10",0.012658227848101266,0.025437010247136828,0.02362869198312236,0.012658227848101266,0.025886616083808954,0.023906537071054702,0.012658227848101266,0.06329113924050633,0.05063291139240506,78.361,"Sampled query/corpus scope; use only with matching comparison group. CUAD smoke/sample result; not a full-corpus held-out result. Corpus sample is GT-anchored: selected query GT chunks plus sampled distractors. Dense encoder is all-MiniLM-L6-v2 CPU exact cosine, not BGE-large.",hybrid_cuad_metrics.json
emanual,evidence_retrieval,bm25,,heldout_test,test,test,split_test,full,,"dataset=emanual|query_scope=split_test|corpus_scope=full|top_k=10|ks=1,5,10",true,130,2,130,130,0,861,861,0,1.0,1.0,pass,1318,132,18812,18812,,,10,"1,5,10",0.0,0.024432234432234433,0.017564102564102565,0.0,0.02557123361023166,0.01092345107183531,0.0,0.11538461538461539,0.06153846153846154,1.632,,bm25_emanual_metrics.json
emanual,evidence_retrieval,dense,sentence-transformers/all-MiniLM-L6-v2,heldout_test,test,test,split_test,full,,"dataset=emanual|query_scope=split_test|corpus_scope=full|top_k=10|ks=1,5,10",true,130,2,130,130,0,861,861,0,1.0,1.0,pass,1318,132,18812,18812,,,10,"1,5,10",0.0,0.05506715506715505,0.026794871794871795,0.0,0.052594986874256705,0.01537723682334962,0.0,0.3230769230769231,0.08461538461538462,47.336,"Dense encoder is all-MiniLM-L6-v2 CPU exact cosine, not BGE-large.",dense_emanual_metrics.json
emanual,evidence_retrieval,hybrid_rrf,sentence-transformers/all-MiniLM-L6-v2,heldout_test,test,test,split_test,full,,"dataset=emanual|query_scope=split_test|corpus_scope=full|top_k=10|ks=1,5,10",true,130,2,130,130,0,861,861,0,1.0,1.0,pass,1318,132,18812,18812,,,10,"1,5,10",0.0,0.0365995115995116,0.025256410256410254,0.0,0.028659493973459554,0.014215547452366502,0.0,0.16923076923076924,0.07692307692307693,51.143,"Dense encoder is all-MiniLM-L6-v2 CPU exact cosine, not BGE-large.",hybrid_emanual_metrics.json
pubmedqa,evidence_retrieval,bm25,,full,train,train,split_train,full,,"dataset=pubmedqa|query_scope=split_train|corpus_scope=full|top_k=10|ks=1,5,10",true,1000,0,1000,1000,0,3358,3358,0,1.0,1.0,pass,1000,1000,4348,4348,,,10,"1,5,10",0.691,0.827284523809524,0.8266833333333337,0.691,0.664831991717885,0.6358259161953906,0.691,0.977,0.973,3.321,"GT is abstract context section-level, not strict answer-supporting sentence evidence.",bm25_pubmedqa_metrics.json
pubmedqa,evidence_retrieval,dense,sentence-transformers/all-MiniLM-L6-v2,full,train,train,split_train,full,,"dataset=pubmedqa|query_scope=split_train|corpus_scope=full|top_k=10|ks=1,5,10",true,1000,0,1000,1000,0,3358,3358,0,1.0,1.0,pass,1000,1000,4348,4348,,,10,"1,5,10",0.709,0.8467690476190477,0.8459500000000001,0.709,0.7396449962999077,0.7131708037653424,0.709,0.993,0.987,53.697,"GT is abstract context section-level, not strict answer-supporting sentence evidence. Dense encoder is all-MiniLM-L6-v2 CPU exact cosine, not BGE-large.",dense_pubmedqa_metrics.json
pubmedqa,evidence_retrieval,hybrid_rrf,sentence-transformers/all-MiniLM-L6-v2,full,train,train,split_train,full,,"dataset=pubmedqa|query_scope=split_train|corpus_scope=full|top_k=10|ks=1,5,10",true,1000,0,1000,1000,0,3358,3358,0,1.0,1.0,pass,1000,1000,4348,4348,,,10,"1,5,10",0.707,0.8443412698412699,0.8435,0.707,0.7230453880905247,0.6948549755090639,0.707,0.989,0.983,63.261,"GT is abstract context section-level, not strict answer-supporting sentence evidence. Dense encoder is all-MiniLM-L6-v2 CPU exact cosine, not BGE-large.",hybrid_pubmedqa_metrics.json
